Date (GMT),Open,High,Low,Last,Volume,MACD,MACD Signal Line,BBandUp,BBandMid,BBandLow
11/3/2020 19:30,13740.5,13770,13732.4,13753.5,709.5853,62.1747244,56.76390557,13859.19829,13666.6721,13474.14591
11/3/2020 20:00,13753.5,13762.9,13717.31,13720.54,660.6265,58.69500684,57.15012583,13860.6396,13671.80238,13482.96516
11/3/2020 20:30,13721.27,13744.66,13694.8,13739.46,745.9326,56.80913118,57.0819269,13862.13572,13678.24596,13494.3562
11/3/2020 21:00,13739.46,13768.13,13721.88,13735.57,842.5988,54.37388237,56.54031799,13860.145,13683.70539,13507.26579
11/3/2020 21:30,13734.7,13775,13731.5,13758.54,649.7822,53.67864319,55.96798303,13851.88058,13690.8325,13529.78441
11/3/2020 22:00,13758.54,13779.25,13727.42,13732.95,833.5358,50.48085018,54.87055646,13839.42151,13694.84369,13550.26587
11/3/2020 22:30,13732.96,13778.57,13650,13768.87,1362.3925,50.26558956,53.94956308,13815.5741,13701.89381,13588.21353
11/3/2020 23:00,13768.88,13845,13767.51,13824.2,2150.5027,53.93790001,53.94723047,13793.87097,13713.54202,13633.21307
11/3/2020 23:30,13824.2,14059.01,13824.19,14038.8,5376.8048,73.31947772,57.82167992,13889.39746,13744.51897,13599.64049
11/4/2020 0:00,14039.23,14066.11,13890,14022.48,3313.7236,86.36704456,63.53075285,13954.29831,13770.99145,13587.68459
11/4/2020 0:30,14023.53,14044.55,13960,13996.74,2446.3989,93.55192405,69.53498709,13997.13434,13792.49131,13587.84829
11/4/2020 1:00,13995.35,13997.07,13779,13785,2439.5886,81.22404417,71.8727985,13996.26748,13791.77785,13587.28822
11/4/2020 1:30,13785,13868.52,13713,13764.06,2738.2126,68.96939135,71.29211707,13992.74177,13789.13806,13585.53434
11/4/2020 2:00,13764.07,13838.71,13757.04,13811.58,1411.3021,62.37296088,69.50828583,13991.96362,13791.27539,13590.58715
